"effect_id";"parent_id";"effect_original_aggregation";"effect_aggregation";"effect_year_aggregation";"effect_total_aggregation";"effect_is_auto_calculated";"effect_is_bold";"effect_description";"effect_is_italic";"effect_order";"effect_is_not_currency";"effect_restriction";"effect_is_calculation";"effect_calculation_formula";"effect_tags";"snapshot_date"
"Nombre de primes à la conversion - DVP";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020";"False";"550";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets alimentaires territoriaux soutenus - PSP";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021";"False";"10";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiaires - IDF";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur : 28/02/2021";"False";"262";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des prêts verts souscrits - PVG";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/03/2021";"False";"160";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets de rénovation de monuments historiques appartenant aux collectivités territoriales bénéficiaires initiés - PAT";"";"None";"None";"None";"None";"False";"False";"Marchés notifiés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2021";"False";"95";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets des collectivités locales soutenus - SIL";"";"None";"None";"None";"None";"False";"False";"";"False";"63";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entrées en service civique - SCI";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2020";"False";"595";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant des financements engagés par les opérateurs - IFS";"";"None";"None";"None";"None";"False";"False";"";"False";"335";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de dossiers MaPrimeRénov bénéficiaires (""particulier"" et ""copropriété"") - MPR";"";"None";"None";"None";"None";"False";"False";"Correspond aux dossiers validés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/00/2021";"False";"390";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d'entreprises accompagnées - PAM";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021";"False";"50";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant des financements engagés par les opérateurs - MTV";"";"None";"None";"None";"None";"False";"False";"";"False";"327";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de places d’Ehpad créées ou rénovées - SMS";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/11/2021";"False";"355";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises - BPI";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 17/11/2020";"False";"135";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de stratégies validées - ICC";"";"None";"None";"None";"None";"False";"False";"";"False";"316";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiaires - SAC";"";"None";"None";"None";"None";"False";"False";"Nombre de lauréats. Dans certains cas il peut y avoir pour un même projet, deux lauréats dans deux départements différents. La somme des informations départementales n’est donc pas égale à la somme des informations régionales.";"False";"228";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de PME - BPI";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 17/11/2020";"False";"145";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Volume d’hydrogène soutenu - MDS";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur : 30/09/2022";"False";"565";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets de tourisme durable financés - TDU";"";"None";"None";"None";"None";"False";"False";"";"False";"65";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéficiaires - APR";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 30/11/2020";"False";"246";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets de rénovation de cathédrales et de monuments nationaux initiés - PAE";"";"None";"None";"None";"None";"False";"False";"Marchés notifiés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/06/2021";"False";"90";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiaires - MNS";"";"None";"None";"None";"None";"False";"False";"";"False";"263";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéficiaires - IFS";"";"None";"None";"None";"None";"False";"False";"";"False";"192";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant des subventions apportées - IDF";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur : 28/02/2021";"False";"265";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Pourcentage des entreprises réalisant un état des GES en début ou en fin de période - PVG";"";"None";"None";"None";"None";"False";"False";"";"False";"178";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant cumulé de l’investissement total ainsi déclenché - CBC";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: Janvier 2021 ou février 2021";"False";"143";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant des financements engagés par les opérateurs - ICC";"";"None";"None";"None";"None";"False";"False";"";"False";"332";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets d’investissement structurants - SHO";"";"None";"None";"None";"None";"False";"False";"";"False";"360";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de conseillers du numérique - INU";"";"None";"None";"None";"None";"False";"False";"";"False";"60";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des investissements ainsi déclenchés (effet de levier) - AFG";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/07/2021";"False";"220";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total investi pour la rénovation de monuments historiques appartenant aux collectivités territoriales - PAT";"";"None";"None";"None";"None";"False";"False";"Tous financements cumulés (Etat, collectivités locales, autres). Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2020";"False";"100";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiaires du dispositif - MIR";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/03/2021";"False";"125";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’appels à projet lancés - ICC";"";"None";"None";"None";"None";"False";"False";"";"False";"323";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de chantiers engagés par VNF (écluses stations pompages, barrages) - VNA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 30/11/2020";"False";"530";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets soutenus - DGA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/09/2020";"False";"428";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant cumulé de l’investissement total ainsi déclenché - FAA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/12/2020";"False";"144";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant des financements engagés par les opérateurs - DRA";"";"None";"None";"None";"None";"False";"False";"";"False";"129";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de bonus octroyés à des véhicules électriques et hybrides rechargeables - BOE";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020";"False";"555";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de villes bénéficiaires - DVD";"";"None";"None";"None";"None";"False";"False";"Nombre de villes bénéficiaires";"False";"440";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéficiaires - MNS";"";"None";"None";"None";"None";"False";"False";"";"False";"247";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de formations professionnelles à distance - DFO";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/01/2021";"False";"640";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéficiaires - PIT";"";"None";"None";"None";"None";"False";"False";"";"False";"250";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Investissement total généré - VDP";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/2021";"False";"302";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Emissions de gaz à effet de serre évitées sur la durée de vie des équipements - CBC";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: Janvier 2021 ou février 2021";"False";"468";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de bâtiments collectivités territoriales dont le marché de rénovation est notifié - RBC";"";"None";"None";"None";"None";"False";"False";"";"False";"80";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de bénéficiaires de la prime à la conversion des agroéquipements - AEA";"";"None";"None";"None";"None";"False";"False";"";"False";"37";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Pourcentage des financements améliorant la performance climatique et matière - PVG";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/01/2022";"False";"175";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’abattoirs accompagnés - MDA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/04/2021";"False";"25";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de kilomètres de voies réservées réalisées - VNA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/12/2021";"False";"520";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Tonnage annuel de biodéchets soutenu - MCT";"";"None";"None";"None";"None";"False";"False";"Tonnage annuel de biodéchets soutenu";"False";"485";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total de CO2 évité - ETH";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur : 14/10/2022";"False";"560";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiaires - APR";"";"None";"None";"None";"None";"False";"False";"";"False";"226";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des levées de fonds - IFP";"";"None";"None";"None";"None";"False";"False";"";"False";"350";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets incluant une transformation de la ligne de production pour réduire son impact environnemental - FAA";"";"None";"None";"None";"None";"False";"False";"";"False";"152";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéficiaires - APS";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/03/2021";"False";"235";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d'entreprises bénéficiaires - DRA";"";"None";"None";"None";"None";"False";"False";"Nombre d'entreprises bénéficiaires";"False";"427";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de places ouvertes en internat d’excellence - IEX";"";"None";"None";"None";"None";"False";"False";"";"False";"285";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Places créées en IAE pour les jeunes - IAE";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/01/2021";"False";"615";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets soutenus - ETH";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur : 30/03/2021";"False";"425";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI financées - AFG";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/07/2021";"False";"212";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de chercheurs bénéficiaires de la mesure - ERD";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 03/2021";"False";"245";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant des financements engagés par les opérateurs - MNS";"";"None";"None";"None";"None";"False";"False";"";"False";"330";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Pourcentage des entreprises réalisant un état des GES en début ou en fin de période - FVE";"";"None";"None";"None";"None";"False";"False";"";"False";"188";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de projets soutenus - REA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 28/02/2021";"False";"421";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de logements et locaux professionnels connectables à la fibre - THD";"";"None";"None";"None";"None";"False";"False";"";"False";"55";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de stratégies validées - MTV";"";"None";"None";"None";"None";"False";"False";"";"False";"317";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI financées - ROF";"";"None";"None";"None";"None";"False";"False";"";"False";"214";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéfinciaires - DRA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/07/2021";"False";"130";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de ponts des collectivités recensés en vue d'un diagnostic - PRR";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/05/2021";"False";"292";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de centres de tri modernisés - MCT";"";"None";"None";"None";"None";"False";"False";"Nombre de centres de tri modernisés";"False";"475";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des investissements ainsi déclenchés (effet de levier) - ROF";"";"None";"None";"None";"None";"False";"False";"";"False";"222";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de fonds labellisés - GFP";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 19/10/2020";"False";"207";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de repas servis dans les restaurants universitaires au tarif à 1€ - RRU";"";"None";"None";"None";"None";"False";"False";"";"False";"295";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises aidées dans les secteurs du cinéma, de l’audiovisuel, du numérique et du livre - SFC";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/03/2020";"False";"110";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises ayant reçu l’aide - PEE";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/12/2020";"False";"457";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des projets financés - PIA";"";"None";"None";"None";"None";"False";"False";"";"False";"352";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de salariés en activité partielle de longue durée - APL";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020";"False";"575";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiaires - ICC";"";"None";"None";"None";"None";"False";"False";"";"False";"264";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de stratégies validées - MNS";"";"None";"None";"None";"None";"False";"False";"";"False";"315";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant de l’investissement total déclenché - CIR";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur : 01/04/2021";"False";"385";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’entreprises bénéficiaires - CIR";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur : 01/04/2021";"False";"260";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des garanties souscrites - PVG";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 02/04/2021";"False";"170";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant des crédits programmés - ICC";"";"None";"None";"None";"None";"False";"False";"";"False";"319";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de contrats de professionnalisation bénéficiaires de l’aide exceptionnelle - CDP";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 31/07/2020";"False";"590";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Km de petites lignes dont les travaux sont soutenus - SPL";"";"None";"None";"None";"None";"False";"False";"Travaux validés. Date prévisionnelle de la première valeur non nulle de l'indicateur: 30/11/2020";"False";"510";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre de TPE/PME/ETI bénéficiaires - PPA";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 01/04/2021";"False";"195";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Volume de GES évités - VDP";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: fin 2021";"False";"305";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Linéaire de réseaux d’eau potable et de réseaux d’assainissement soutenus en métropole - MRB";"";"None";"None";"None";"None";"False";"False";"Métropole uniquement. Date prévisionnelle de la première valeur non nulle de l'indicateur: 28/02/2021";"False";"445";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des projets - PIT";"";"None";"None";"None";"None";"False";"False";"";"False";"255";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Montant total des projets financés par les opérateurs - IFS";"";"None";"None";"None";"None";"False";"False";"";"False";"340";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Nombre d’exploitations certifiées ""haute valeur environnementale"" - CIC";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/07/2021";"False";"15";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
"Surface agricole utile (SAU) dédiée aux légumineuses associée aux projets soutenus (ha) - PPR";"";"None";"None";"None";"None";"False";"False";"Date prévisionnelle de la première valeur non nulle de l'indicateur: 15/07/2021";"False";"20";"True";"";"False";"";"System.String[]";"2021-03-10T23:59:59.0000000"
